id,nombre,direccion,barrio,lat,lon,source,norm
52,EL SÍMBOLO,Av. Corrientes 3787,Almagro,-34.603404,-58.417844,USIG,"CORRIENTES AV. 3787, CABA"
53,EL TOKIO,Av. Álvarez Jonte 3550,Villa Santa Rita,-34.612407,-58.491572,USIG,"ALVAREZ JONTE AV. 3550, CABA"
54,EL VIEJO BUZÓN,Neuquén 1100,Caballito,-34.615898,-58.448852,USIG,"NEUQUEN 1100, CABA"
55,ESQUINA HOMERO MANZI,Av. San Juan 3601,Boedo,-34.625385,-58.416337,USIG,"SAN JUAN AV. 3601, CABA"
56,FLORIDA GARDEN,Florida 899,Retiro,-34.597613,-58.375352,USIG,"FLORIDA 899, CABA"
57,HOTEL SAVOY / BAR IMPERIO,Av. Callao 181,San Nicolás,-34.607022,-58.392003,USIG,"CALLAO AV. 181, CABA"
58,JOSEPHINA'S CAFÉ,Guido 1532,Recoleta,-34.592512,-58.38697,USIG,"GUIDO 1532, CABA"
59,LA ACADEMIA,Montevideo 341,San Nicolás,-34.604902,-58.392357,GCBA,"CALLAO AV. 368, CABA"
60,LA BIELA,Av. Pte. M. Quintana 600,Recoleta,-34.587834,-58.390761,USIG,"QUINTANA, MANUEL, PRES. AV. 600, CABA"
61,LA BUENA MEDIDA,Suárez 101,La Boca,-34.633746,-58.355061,USIG,"SUAREZ 101, CABA"
62,LA ESCUELA,Manuela Pedraza 2803,Núñez,-34.553649,-58.469955,USIG,"PEDRAZA, MANUELA 2803, CABA"
63,LA FARMACIA,Av. Directorio 2400,Flores,-34.633541,-58.460605,USIG,"DIRECTORIO AV. 2400, CABA"
64,LA FLOR DE BARRACAS,Suárez 2095,Barracas,-34.641822,-58.379497,USIG,"SUAREZ AV. 2095, CABA"
65,LA GIRALDA,Av. Corrientes 1453,San Nicolás,-34.604052,-58.387286,GCBA,"CORRIENTES AV. 1453, CABA"
66,LA ÓPERA,Av. Corrientes 1799,San Nicolás,-34.604335,-58.392047,USIG,"CORRIENTES AV. 1799, CABA"
67,LA ORQUÍDEA,Av. Corrientes 4101,Almagro,-34.602917,-58.42267,USIG,"CORRIENTES AV. 4101, CABA"
68,LA PERLA,Av. Don Pedro de Mendoza 1899,La Boca,-34.639338,-58.361731,USIG,"DON PEDRO DE MENDOZA AV. 1899, CABA"
69,LA POESÍA,Chile 502,San Telmo,-34.616062,-58.373267,GCBA,"CHILE 502, CABA"
70,LA PUERTO RICO,Alsina 420,Montserrat,-34.610196,-58.372381,USIG,"ALSINA, ADOLFO 420, CABA"
71,LAS VIOLETAS,Av. Rivadavia 3899,Almagro,-34.611314,-58.420777,USIG,"RIVADAVIA AV. 3899, CABA"
72,LE CARAVELLE,Lavalle 726,San Nicolás,-34.602372,-58.377159,USIG,"LAVALLE 726, CABA"
73,LONDON CITY,Av. de Mayo 599,Montserrat,-34.608508,-58.37474,GCBA,"DE MAYO AV. 599, CABA"
74,LOS 36 BILLARES,Av. de Mayo 1265/71,Montserrat,-34.60917,-58.384301,GCBA,"DE MAYO AV. 1265, CABA"
75,LOS GALGOS,Av. Callao 501,San Nicolás,-34.602955,-58.392326,USIG,"CALLAO AV. 501, CABA"
76,LOS LAURELES,Av. Iriarte 2290,Barracas,-34.64945,-58.37943,USIG,"IRIARTE, GRAL. AV. 2290, CABA"
77,MAR AZUL,Tucumán 1700,San Nicolás,-34.601939,-58.391132,USIG,"TUCUMAN 1700, CABA"
78,MIRAMAR,Sarandí 1190,San Cristóbal,-34.622663,-58.393748,USIG,"SARANDI 1190, CABA"
79,MONTECARLO BAR Y DESPENSA,Paraguay 5491,Palermo,-34.577099,-58.43385,USIG,"PARAGUAY 5491, CABA"
80,MUSEO FOTOGRÁFICO SIMIK,Av. Federico Lacroze 3901,Chacarita,-34.584401,-58.453574,USIG,"LACROZE, FEDERICO AV. 3901, CABA"
81,OCHO ESQUINAS,Av. Forest 1186,Chacarita,-34.578517,-58.460138,USIG,"FOREST AV. 1186, CABA"
82,PAULIN,Sarmiento 635,San Nicolás,-34.604564,-58.375632,USIG,"SARMIENTO 635, CABA"
83,PETIT COLÓN,Libertad 505,San Nicolás,-34.602403,-58.38376,USIG,"LIBERTAD 505, CABA"
84,PLAZA BAR,Florida 1005,Retiro,-34.595775,-58.375112,USIG,"FLORIDA 1005, CABA"
85,PLAZA CAFÉ,Av. Rivadavia 4732,Caballito,-34.616452,-58.432096,USIG,"RIVADAVIA AV. 4732, CABA"
86,ROMA DEL ABASTO,Anchorena 806,Balvanera,-34.599397,-58.408726,USIG,"ANCHORENA, TOMAS MANUEL DE, DR. 806, CABA"
87,STYLO CAFÉ,Fernández de Enciso 3934,Villa Devoto,-34.601354,-58.512648,USIG,"FERNANDEZ DE ENCISO 3934, CABA"
88,THE NEW BRIGHTON,Sarmiento 645,San Nicolás,-34.604575,-58.375796,GCBA,"SARMIENTO 645, CABA"
89,VARELA VARELITA,Av. Scalabrini Ortiz 2102,Palermo,-34.58764,-58.420109,USIG,"SCALABRINI ORTIZ, RAUL AV. 2102, CABA"
90,WATSON'S,Vuelta de Obligado 2072,Belgrano,-34.561811,-58.455426,USIG,"VUELTA DE OBLIGADO 2072, CABA"
